X,Y
-7.14, 9.59
-7.14, 9.34
-7.15, 9.12
-7.14, 8.89
-7.14, 8.71
-7.14, 8.51
-6.95, 8.47
-6.73, 8.44
-6.49, 8.38
-6.35, 8.36
-6.51, 8.63
-6.67, 8.85
-6.82, 9.11
-6.98, 9.34
-7.14, 9.58
-6.91, 9.55
-6.65, 9.50
-6.36, 9.46
-6.10, 9.40
-5.85, 9.35
-5.59, 9.30
-5.31, 9.25
-5.22, 9.11
-5.13, 8.98
-5.05, 8.80
-4.93, 8.62
-4.81, 8.39
-4.99, 8.46
-5.25, 8.60
-5.50, 8.73
-5.81, 8.89
-6.09, 9.04
-6.39, 9.19
-6.66, 9.34
-6.98, 9.50
-7.14, 9.58
-6.98, 9.50
-6.66, 9.33
-6.39, 9.19
-6.09, 9.04
-5.81, 8.88
-5.50, 8.73
-5.25, 8.60
-4.99, 8.46
-4.81, 8.39
-4.99, 8.32
-5.22, 8.23
-5.46, 8.14
-5.64, 8.07
-5.85, 7.98
-6.05, 7.89
-6.17, 8.10
-6.28, 8.26
-6.35, 8.36
-6.27, 8.26
-6.17, 8.10
-6.05, 7.89
-5.93, 7.76
-5.78, 7.58
-5.66, 7.43
-5.53, 7.25
-5.36, 7.05
-5.21, 6.86
-5.07, 6.69
-4.98, 6.60
-4.96, 6.88
-4.93, 7.17
-4.89, 7.52
-4.85, 7.77
-4.83, 8.04
-4.82, 8.23
-4.81, 8.38
-4.76, 8.21
-4.71, 8.03
-4.67, 7.82
-4.61, 7.65
-4.57, 7.49
-4.54, 7.34
-4.49, 7.14
-4.62, 7.02
-4.74, 6.87
-4.89, 6.72
-4.98, 6.59
-4.97, 6.41
-4.95, 6.26
-4.93, 6.05
-4.91, 5.83
-4.90, 5.72
-4.82, 5.98
-4.73, 6.29
-4.65, 6.56
-4.59, 6.82
-4.53, 7.02
-4.49, 7.14
-4.53, 7.01
-4.58, 6.82
-4.64, 6.56
-4.73, 6.28
-4.82, 5.98
-4.90, 5.71
-5.05, 5.82
-5.20, 5.88
-5.32, 5.94
-5.32, 6.20
-5.32, 6.44
-5.31, 6.59
-5.50, 6.63
-5.76, 6.66
-5.92, 6.68
-6.12, 6.73
-6.28, 6.76
-6.47, 6.79
-6.58, 6.70
-6.70, 6.56
-6.72, 6.40
-6.74, 6.24
-6.75, 6.08
-6.77, 5.92
-6.78, 5.73
-6.65, 5.65
-6.50, 5.57
-6.35, 5.48
-6.21, 5.40
-6.14, 5.35
-6.01, 5.40
-5.86, 5.47
-5.75, 5.51
-5.60, 5.55
-5.51, 5.59
-5.39, 5.64
-5.33, 5.73
-5.32, 5.94
-5.21, 5.87
-5.05, 5.81
-4.90, 5.71
-5.08, 5.64
-5.31, 5.54
-5.51, 5.43
-5.69, 5.34
-5.85, 5.25
-6.03, 5.17
-6.17, 5.11
-6.34, 5.02
-6.53, 4.94
-6.72, 4.85
-6.81, 4.81
-6.93, 5.01
-7.07, 5.26
-7.15, 5.39
-7.16, 5.61
-7.16, 5.84
-7.15, 6.10
-7.15, 6.37
-7.15, 6.59
-7.15, 6.90
-7.16, 7.20
-7.15, 7.53
-7.15, 7.82
-7.14, 8.11
-7.15, 8.34
-7.14, 8.50
-7.15, 8.34
-7.14, 8.11
-7.14, 7.81
-7.14, 7.53
-7.15, 7.19
-7.15, 6.90
-7.14, 6.70
-6.97, 6.91
-6.80, 7.09
-6.65, 7.25
-6.49, 7.43
-6.34, 7.59
-6.17, 7.78
-6.05, 7.90
-6.17, 7.78
-6.33, 7.60
-6.48, 7.44
-6.66, 7.25
-6.80, 7.09
-6.97, 6.91
-7.14, 6.70
-6.96, 6.56
-6.72, 6.40
-6.95, 6.56
-7.13, 6.68
-7.15, 6.59
-7.15, 6.37
-7.15, 6.09
-7.16, 5.83
-7.16, 5.60
-7.15, 5.39
-7.16, 5.13
-7.16, 4.90
-7.16, 4.69
-7.15, 4.47
-7.16, 4.23
-7.02, 4.43
-6.91, 4.64
-6.81, 4.81
-6.89, 4.64
-6.97, 4.54
-6.79, 4.50
-6.62, 4.46
-6.43, 4.43
-6.21, 4.38
-6.00, 4.34
-5.82, 4.31
-5.68, 4.27
-5.58, 4.41
-5.45, 4.57
-5.34, 4.71
-5.25, 4.87
-5.14, 5.01
-5.07, 5.11
-5.03, 5.31
-4.99, 5.48
-4.95, 5.62
-4.91, 5.71
-4.88, 5.55
-4.86, 5.42
-4.83, 5.25
-4.82, 5.09
-4.79, 4.91
-4.94, 5.01
-5.07, 5.11
-4.94, 5.00
-4.79, 4.90
-4.88, 4.80
-5.01, 4.70
-5.14, 4.59
-5.27, 4.46
-5.44, 4.30
-5.55, 4.20
-5.68, 4.07
-5.80, 3.96
-5.93, 3.85
-6.03, 3.77
-5.89, 3.95
-5.77, 4.12
-5.69, 4.27
-5.77, 4.12
-5.89, 3.95
-6.03, 3.77
-6.18, 3.73
-6.39, 3.67
-6.57, 3.64
-6.70, 3.85
-6.79, 4.07
-6.90, 4.27
-6.98, 4.41
-7.00, 4.47
-6.98, 4.41
-6.91, 4.26
-6.79, 4.07
-6.70, 3.85
-6.58, 3.64
-6.74, 3.58
-6.93, 3.53
-7.14, 3.48
-7.14, 3.71
-7.15, 4.00
-7.16, 4.23
-7.15, 4.00
-7.15, 3.72
-7.14, 3.47
-7.16, 3.26
-7.16, 3.05
